index,continent,CNT1,PV1MATH,ST57Q01
"(-5.95, -4.573](-1.819, -0.441]",South America,Peru,369.215129814,5.43805436338
"(-5.95, -4.573](-1.819, -0.441]",South America,Uruguay,412.885795458,4.77326007326
"(-5.95, -4.573](-0.441, 0.936]",Africa,Tunisia,405.52806738,3.60725919032
"(-5.95, -4.573](-0.441, 0.936]",Asia,China,609.270848537,13.8791348601
"(-5.95, -4.573](-0.441, 0.936]",Asia,Hong Kong,565.82964351,6.1614010989
"(-5.95, -4.573](-0.441, 0.936]",Asia,Indonesia,380.049744118,5.01723113488
"(-5.95, -4.573](-0.441, 0.936]",Asia,Israel,478.560441016,4.92398064962
"(-5.95, -4.573](-0.441, 0.936]",Asia,Japan,542.967983196,4.03536396489
"(-5.95, -4.573](-0.441, 0.936]",Asia,Jordan,396.3528815,4.3058574079
"(-5.95, -4.573](-0.441, 0.936]",Asia,Kazakhstan,434.3148305,8.85952446024
"(-5.95, -4.573](-0.441, 0.936]",Asia,Macau,539.922938181,6.05154028436
"(-5.95, -4.573](-0.441, 0.936]",Asia,Malaysia,424.50026593,4.89390168015
"(-5.95, -4.573](-0.441, 0.936]",Asia,Qatar,388.89845534,4.31041106416
"(-5.95, -4.573](-0.441, 0.936]",Asia,Singapore,568.925443382,9.37352856733
"(-5.95, -4.573](-0.441, 0.936]",Asia,South Korea,562.727802194,3.16306549629
"(-5.95, -4.573](-0.441, 0.936]",Asia,Taiwan,565.09567288,5.90390738061
"(-5.95, -4.573](-0.441, 0.936]",Asia,Thailand,442.404207428,5.98509581263
"(-5.95, -4.573](-0.441, 0.936]",Asia,UAE,437.212681266,6.1471942446
"(-5.95, -4.573](-0.441, 0.936]",Asia,Vietnam,512.075624835,5.86763315474
"(-5.95, -4.573](-0.441, 0.936]",Central America,Costa Rica,410.442913188,3.47832422587
"(-5.95, -4.573](-0.441, 0.936]",Europe,Austria,512.865004084,4.81239183108
"(-5.95, -4.573](-0.441, 0.936]",Europe,Belgium,528.957820644,5.69843690431
"(-5.95, -4.573](-0.441, 0.936]",Europe,Bulgaria,452.517642526,6.04607508532
"(-5.95, -4.573](-0.441, 0.936]",Europe,Croatia,472.093039567,6.07741318891
"(-5.95, -4.573](-0.441, 0.936]",Europe,Czech Republic,527.510865759,3.41265822785
"(-5.95, -4.573](-0.441, 0.936]",Europe,Denmark,491.688412109,4.59387978142
"(-5.95, -4.573](-0.441, 0.936]",Europe,Estonia,524.076623642,7.08145695364
"(-5.95, -4.573](-0.441, 0.936]",Europe,Finland,513.091717388,3.10800459594
"(-5.95, -4.573](-0.441, 0.936]",Europe,France,508.09549444,5.30649819495
"(-5.95, -4.573](-0.441, 0.936]",Europe,Germany,529.413354604,4.93084036992
"(-5.95, -4.573](-0.441, 0.936]",Europe,Greece,458.530572644,5.57417671992
"(-5.95, -4.573](-0.441, 0.936]",Europe,Hungary,489.774275335,6.57730923695
"(-5.95, -4.573](-0.441, 0.936]",Europe,Iceland,501.756909251,4.32060695056
"(-5.95, -4.573](-0.441, 0.936]",Europe,Ireland,504.457399708,7.77257959714
"(-5.95, -4.573](-0.441, 0.936]",Europe,Italy,494.715747513,8.8388434089
"(-5.95, -4.573](-0.441, 0.936]",Europe,Latvia,499.308192118,6.6043956044
"(-5.95, -4.573](-0.441, 0.936]",Europe,Lithuania,482.993677017,6.8826405868
"(-5.95, -4.573](-0.441, 0.936]",Europe,Luxembourg,495.830785531,4.7471875
"(-5.95, -4.573](-0.441, 0.936]",Europe,Montenegro,411.235431684,4.47747415066
"(-5.95, -4.573](-0.441, 0.936]",Europe,Netherlands,526.742319057,6.08124298016
"(-5.95, -4.573](-0.441, 0.936]",Europe,Norway,498.867754526,5.06204379562
"(-5.95, -4.573](-0.441, 0.936]",Europe,Poland,521.743987283,6.79224753485
"(-5.95, -4.573](-0.441, 0.936]",Europe,Portugal,491.893236234,3.97831897832
"(-5.95, -4.573](-0.441, 0.936]",Europe,Romania,451.867917612,7.60052476222
"(-5.95, -4.573](-0.441, 0.936]",Europe,Russia,488.378310894,9.84919124643
"(-5.95, -4.573](-0.441, 0.936]",Europe,Serbia,452.571192468,4.62159253945
"(-5.95, -4.573](-0.441, 0.936]",Europe,Slovakia,495.710189756,3.75847123719
"(-5.95, -4.573](-0.441, 0.936]",Europe,Slovenia,491.315547083,3.7854862119
"(-5.95, -4.573](-0.441, 0.936]",Europe,Spain,499.491194918,6.32809663892
"(-5.95, -4.573](-0.441, 0.936]",Europe,Sweden,485.158550424,3.80402542373
"(-5.95, -4.573](-0.441, 0.936]",Europe,Switzerland,524.817556372,4.17034834325
"(-5.95, -4.573](-0.441, 0.936]",Europe,Turkey,450.195890414,4.27779589175
"(-5.95, -4.573](-0.441, 0.936]",Europe,UK,495.534929078,5.30474712198
"(-5.95, -4.573](-0.441, 0.936]",North America,Canada,513.854467084,5.16095485701
"(-5.95, -4.573](-0.441, 0.936]",North America,Mexico,421.903801075,5.43953129521
"(-5.95, -4.573](-0.441, 0.936]",North America,USA,487.436222059,6.85325406758
"(-5.95, -4.573](-0.441, 0.936]",Oceania,Australia,507.977543238,6.30951201387
"(-5.95, -4.573](-0.441, 0.936]",Oceania,New Zealand,513.788975202,4.64378029079
"(-5.95, -4.573](-0.441, 0.936]",South America,Argentina,407.562346936,3.82630120111
"(-5.95, -4.573](-0.441, 0.936]",South America,Brazil,387.208637968,3.54879594423
"(-5.95, -4.573](-0.441, 0.936]",South America,Chile,446.845408904,3.93346524858
"(-5.95, -4.573](-0.441, 0.936]",South America,Colombia,392.571145635,5.44357605795
"(-5.95, -4.573](-0.441, 0.936]",South America,Peru,373.70650519,5.48347446053
