"Daily Time Detail -- Hard Skills in Data Science"
"04 de outubro de 2014 to 16 de agosto de 2015"

Hard Skills in Data Science,4:26,4:26,0:00,""
Hard Skills in Data Science,19:15,20:30,1:15,""
Total,3:00

"DOMINGO, 5 DE ABRIL"
Hard Skills in Data Science,15:15,17:15,2:00,""
Total,2:00

"SEGUNDA-FEIRA, 6 DE ABRIL"
Hard Skills in Data Science,0:30,1:00,0:30,""
Hard Skills in Data Science,1:01,1:16,0:16,""
Total,0:46

"TERÇA-FEIRA, 7 DE ABRIL"
Hard Skills in Data Science,0:45,1:37,0:52,""
Hard Skills in Data Science,1:45,2:23,0:39,""
Total,1:31

"QUARTA-FEIRA, 8 DE ABRIL"
Hard Skills in Data Science,0:47,2:30,1:43,""
Hard Skills in Data Science,23:45,23:59,0:15,""
Total,1:58

"QUINTA-FEIRA, 9 DE ABRIL"
Hard Skills in Data Science,0:04,1:18,1:15,""
Total,1:15

"SEXTA-FEIRA, 10 DE ABRIL"
Hard Skills in Data Science,0:46,2:15,1:29,""
Total,1:29

"SÁBADO, 11 DE ABRIL"
[No entries]

"DOMINGO, 12 DE ABRIL"
[No entries]

"SEGUNDA-FEIRA, 13 DE ABRIL"
Hard Skills in Data Science,17:15,17:45,0:29,""
Hard Skills in Data Science,18:17,19:09,0:51,""
Hard Skills in Data Science,23:14,1:30,0:45,""
Total,2:05

"TERÇA-FEIRA, 14 DE ABRIL"
Hard Skills in Data Science,23:14,1:30,1:30,""
Hard Skills in Data Science,12:37,14:44,2:06,""
Hard Skills in Data Science,16:00,16:30,0:30,""
Hard Skills in Data Science,17:59,18:45,0:46,""
Total,4:52

"QUARTA-FEIRA, 15 DE ABRIL"
Hard Skills in Data Science,0:15,1:33,1:19,""
Hard Skills in Data Science,18:37,19:52,1:16,""
Total,2:34

"QUINTA-FEIRA, 16 DE ABRIL"
Hard Skills in Data Science,0:44,1:30,0:45,""
Hard Skills in Data Science,2:42,3:26,0:45,""
Hard Skills in Data Science,18:19,18:29,0:10,""
Hard Skills in Data Science,20:13,20:49,0:36,""
Total,2:15

"SEXTA-FEIRA, 17 DE ABRIL"
Hard Skills in Data Science,0:00,2:15,2:15,""
Hard Skills in Data Science,21:00,21:30,0:30,""
Total,2:45

"SÁBADO, 18 DE ABRIL"
[No entries]

"DOMINGO, 19 DE ABRIL"
Hard Skills in Data Science,23:30,23:59,0:30,""
Total,0:30

"SEGUNDA-FEIRA, 20 DE ABRIL"
Hard Skills in Data Science,0:00,0:30,0:30,""
Hard Skills in Data Science,1:00,2:30,1:30,""
Hard Skills in Data Science,15:52,18:45,2:53,""
Total,4:53

"TERÇA-FEIRA, 21 DE ABRIL"
Hard Skills in Data Science,13:59,14:30,0:31,""
Hard Skills in Data Science,15:20,15:56,0:36,""
Hard Skills in Data Science,16:15,17:07,0:53,""
Hard Skills in Data Science,21:15,23:07,1:53,""
Total,3:52

"QUARTA-FEIRA, 22 DE ABRIL"
Hard Skills in Data Science,0:30,2:32,2:03,""
Hard Skills in Data Science,22:45,23:00,0:14,""
Total,2:17

"QUINTA-FEIRA, 23 DE ABRIL"
Hard Skills in Data Science,0:25,2:45,2:20,""
Total,2:20

"SEXTA-FEIRA, 24 DE ABRIL"
Hard Skills in Data Science,13:45,14:08,0:23,""
Hard Skills in Data Science,16:04,16:30,0:25,""
Hard Skills in Data Science,16:45,19:30,2:45,""
Hard Skills in Data Science,19:34,19:54,0:20,""
Total,3:54

"SÁBADO, 25 DE ABRIL"
Hard Skills in Data Science,14:15,17:15,3:00,""
Total,3:00

"DOMINGO, 26 DE ABRIL"
Hard Skills in Data Science,14:46,14:46,0:00,""
Hard Skills in Data Science,22:00,23:59,2:00,""
Total,2:00

"SEGUNDA-FEIRA, 27 DE ABRIL"
Hard Skills in Data Science,0:30,2:45,2:15,""
Hard Skills in Data Science,10:48,12:15,1:27,""
Hard Skills in Data Science,12:31,13:45,1:13,""
